Comet Tail Magnani & Ahearn 1986	
wv (A)   L/N 1e-14 erg/s	
2042	0.01
2112	0.071
2138	0.023
2190	0.197
2214	0.013
2240	0.002
2300	0.12
2325	0.066
2419	0.035
3420.5	0.18
3592.5	0.42
3696.5	0.15
3787	1.07
3898.5	0.11
4008	2.2
4011	0.02
4128	0.01
4256	0.16
4260.5	1.79
4391	0.2
4531	0.44
4553	1.03
4698	0.89
4851.5	0.45
4895	0.16
5056	1.27
5226.5	0.27
5480.5	0.36
5673.5	0.36
6214	0.32
