260,0
260.0714,0
260.1428,0
260.2143,0
260.2857,0
260.3572,0
260.4286,0
260.5,0
260.5714,0
260.6428,0
260.7143,0
260.7857,0
260.8572,0
260.9286,0
261,0
261.0714,0
261.1428,0
261.2143,0
261.2857,0
261.3572,0
261.4286,0
261.5,0
261.5714,0
261.6428,0
261.7143,0
261.7857,0
261.8572,0
261.9286,0
262,0
262.0714,0
262.1428,0
262.2143,0
262.2857,0
262.3572,0
262.4286,0
262.5,0
262.5714,0
262.6428,0
262.7143,0
262.7857,0
262.8572,0
262.9286,0
263,0
263.0714,0
263.1428,0
263.2143,0
263.2857,0
263.3572,0
263.4286,0
263.5,0
263.5714,0
263.6428,0
263.7143,0
263.7857,0
263.8572,0
263.9286,0
264,0
264.0714,0
264.1428,0
264.2143,0
264.2857,0
264.3572,0
264.4286,0
264.5,0
264.5714,0
264.6428,0
264.7143,0
264.7857,0
264.8572,0
264.9286,0
265,0
265.0714,0
265.1428,0
265.2143,0
265.2857,0
265.3572,0
265.4286,0
265.5,0
265.5714,0
265.6428,0
265.7143,0
265.7857,0
265.8572,0
265.9286,0
266,0
266.0714,0
266.1428,0
266.2143,0
266.2857,0
266.3572,0
266.4286,0
266.5,0
266.5714,0
266.6428,0
266.7143,0
266.7857,0
266.8572,0
266.9286,0
267,0
267.0714,0
267.1428,0
267.2143,0
267.2857,0
267.3572,0
267.4286,0
267.5,0
267.5714,0
267.6428,0
267.7143,0
267.7857,0
267.8572,0
267.9286,0
268,0
268.0714,0
268.1428,0
268.2143,0
268.2857,0
268.3572,0
268.4286,0
268.5,0
268.5714,0
268.6428,0
268.7143,0
268.7857,0
268.8572,0
268.9286,0
269,0
269.0714,0
269.1428,0
269.2143,0
269.2857,0
269.3572,0
269.4286,0
269.5,0
269.5714,0
269.6428,0
269.7143,0
269.7857,0
269.8572,0
269.9286,0
270,0
270.0714,0
270.1428,0
270.2143,0
270.2857,0
270.3572,0
270.4286,0
270.5,0
270.5714,0
270.6428,0
270.7143,0
270.7857,0
270.8572,0
270.9286,0
271,0
271.0714,0
271.1428,0
271.2143,0
271.2857,0
271.3572,0
271.4286,0
271.5,0
271.5714,0
271.6428,0
271.7143,0
271.7857,0
271.8572,0
271.9286,0
272,0
272.0714,0
272.1428,0
272.2143,0
272.2857,0
272.3572,0
272.4286,0
272.5,0
272.5714,0
272.6428,0
272.7143,0
272.7857,0
272.8572,0
272.9286,0
273,0
273.0714,0
273.1428,0
273.2143,0
273.2857,0
273.3572,0
273.4286,0
273.5,0
273.5714,0
273.6428,0
273.7143,0
273.7857,0
273.8572,0
273.9286,0
274,0
274.0714,0
274.1428,0
274.2143,0
274.2857,0
274.3572,0
274.4286,0
274.5,0
274.5714,0
274.6428,0
274.7143,0
274.7857,0
274.8572,0
274.9286,0
275,0
275.0714,0
275.1428,0
275.2143,0
275.2857,0
275.3572,0
275.4286,0
275.5,0
275.5714,0
275.6428,0
275.7143,0
275.7857,0
275.8572,0
275.9286,0
276,0
276.0714,0
276.1428,0
276.2143,0
276.2857,0
276.3572,0
276.4286,0
276.5,0
276.5714,0
276.6428,0
276.7143,0
276.7857,0
276.8572,0
276.9286,0
277,0
277.0714,0
277.1428,0
277.2143,0
277.2857,0
277.3572,0
277.4286,0
277.5,0
277.5714,0
277.6428,0
277.7143,0
277.7857,0
277.8572,0
277.9286,0
278,0
278.0714,0
278.1428,0
278.2143,0
278.2857,0
278.3572,0
278.4286,0
278.5,0
278.5714,0
278.6428,0
278.7143,0
278.7857,0
278.8572,0
278.9286,0
279,0
279.0714,0
279.1428,0
279.2143,0
279.2857,0
279.3572,0
279.4286,0
279.5,0
279.5714,1.00E-04
279.6428,1.00E-04
279.7143,2.00E-04
279.7857,4.00E-04
279.8572,6.00E-04
279.9286,9.00E-04
280,0.0012
280.0714,0.0016
280.1428,0.0022
280.2143,0.0029
280.2857,0.004
280.3572,0.0056
280.4286,0.0077
280.5,0.0102
280.5714,0.0129
280.6428,0.0154
280.7143,0.0182
280.7857,0.0232
280.8572,0.036
280.9286,0.0674
281,0.1345
281.0714,0.258
281.1428,0.4549
281.2143,0.7265
281.2857,1.0481
281.3572,1.372
281.4286,1.6516
281.5,1.88
281.5714,2.1181
281.6428,2.4847
281.7143,3.0985
281.7857,3.9943
281.8572,5.0641
281.9286,6.0685
282,6.7295
282.0714,6.8522
282.1428,6.4139
282.2143,5.5637
282.2857,4.5448
282.3572,3.595
282.4286,2.8865
282.5,2.5273
282.5714,2.5965
282.6428,3.156
282.7143,4.2089
282.7857,5.6246
282.8572,7.1026
282.9286,8.2404
283,8.7019
283.0714,8.387
283.1428,7.4933
283.2143,6.41
283.2857,5.5186
283.3572,5.0222
283.4286,4.902
283.5,4.9937
283.5714,5.1042
283.6428,5.0903
283.7143,4.8773
283.7857,4.446
283.8572,3.8238
283.9286,3.0814
284,2.3176
284.0714,1.6297
284.1428,1.0806
284.2143,0.6853
284.2857,0.4235
284.3572,0.2595
284.4286,0.1601
284.5,0.1008
284.5714,0.0658
284.6428,0.0449
284.7143,0.0322
284.7857,0.0243
284.8572,0.0194
284.9286,0.0163
285,0.0141
285.0714,0.012
285.1428,0.0097
285.2143,0.0072
285.2857,0.0049
285.3572,0.003
285.4286,0.0016
285.5,8.00E-04
285.5714,3.00E-04
285.6428,1.00E-04
285.7143,0
285.7857,0
285.8572,0
285.9286,0
286,0
286.0714,0
286.1428,0
286.2143,0
286.2857,0
286.3572,0
286.4286,0
286.5,0
286.5714,0
286.6428,0
286.7143,0
286.7857,0
286.8572,0
286.9286,0
287,0
287.0714,0
287.1428,0
287.2143,0
287.2857,0
287.3572,0
287.4286,0
287.5,0
287.5714,0
287.6428,0
287.7143,0
287.7857,0
287.8572,0
287.9286,0
288,0
288.0714,0
288.1428,0
288.2143,0
288.2857,0
288.3572,0
288.4286,0
288.5,0
288.5714,0
288.6428,0
288.7143,0
288.7857,0
288.8572,0
288.9286,0
289,0
289.0714,0
289.1428,0
289.2143,0
289.2857,0
289.3572,0
289.4286,0
289.5,0
289.5714,0
289.6428,0
289.7143,0
289.7857,0
289.8572,0
289.9286,0
290,0
290.0714,0
290.1428,0
290.2143,0
290.2857,0
290.3572,0
290.4286,0
290.5,0
290.5714,0
290.6428,0
290.7143,0
290.7857,0
290.8572,0
290.9286,0
291,0
291.0714,0
291.1428,0
291.2143,0
291.2857,0
291.3572,0
291.4286,0
291.5,0
291.5714,0
291.6428,0
291.7143,0
291.7857,0
291.8572,0
291.9286,0
292,0
292.0714,0
292.1428,0
292.2143,0
292.2857,0
292.3572,0
292.4286,0
292.5,0
292.5714,0
292.6428,0
292.7143,0
292.7857,0
292.8572,0
292.9286,0
293,0
293.0714,0
293.1428,0
293.2143,0
293.2857,0
293.3572,0
293.4286,0
293.5,0
293.5714,0
293.6428,0
293.7143,0
293.7857,0
293.8572,0
293.9286,0
294,0
294.0714,0
