2.025589225589225748e+02	2.036585365853658125e+00
2.102356902356902424e+02	2.060975609756097171e+00
2.166329966329966510e+02	2.115853658536585247e+00
2.179124579124579100e+02	2.164634146341463339e+00
2.204713804713804848e+02	2.256097560975609539e+00
2.217508417508417438e+02	2.371951219512194786e+00
2.243097643097643186e+02	2.329268292682926678e+00
2.268686868686868934e+02	2.432926829268292401e+00
2.268686868686868934e+02	2.640243902439024293e+00
2.294276094276094398e+02	2.945121951219511924e+00
2.319865319865319861e+02	2.713414634146340987e+00
2.319865319865319861e+02	2.567073170731707155e+00
2.332659932659932736e+02	2.408536585365853355e+00
2.345454545454545610e+02	2.298780487804878092e+00
2.371043771043771358e+02	2.365853658536585247e+00
2.383838383838383947e+02	2.463414634146341431e+00
2.396632996632996537e+02	2.640243902439024293e+00
2.396632996632996537e+02	2.829268292682926678e+00
2.422222222222222285e+02	2.554878048780487632e+00
2.435016835016835159e+02	2.439024390243902385e+00
2.447811447811447749e+02	2.329268292682926678e+00
2.460606060606060623e+02	2.262195121951219523e+00
2.460606060606060623e+02	2.189024390243902385e+00
2.511784511784512119e+02	2.304878048780487632e+00
2.511784511784512119e+02	2.384146341463414309e+00
2.550168350168350173e+02	2.286585365853658125e+00
2.562962962962963047e+02	2.201219512195121908e+00
2.588552188552188795e+02	2.146341463414633832e+00
2.614141414141414543e+02	2.121951219512195230e+00
2.652525252525252881e+02	2.146341463414633832e+00
2.703703703703703809e+02	2.115853658536585247e+00
2.742087542087542147e+02	2.109756097560975263e+00
2.780471380471381053e+02	2.079268292682926678e+00
2.831649831649831981e+02	2.079268292682926678e+00
2.882828282828282909e+02	2.097560975609756184e+00
2.921212121212121247e+02	2.103658536585365724e+00
2.946801346801346995e+02	2.067073170731707155e+00
2.997979797979797922e+02	2.073170731707317138e+00
3.036363636363636260e+02	2.115853658536585247e+00
3.049158249158249419e+02	2.158536585365853355e+00
3.074747474747475167e+02	2.091463414634146201e+00
3.113131313131312936e+02	2.054878048780487632e+00
3.164309764309764432e+02	2.079268292682926678e+00
3.177104377104377591e+02	2.128048780487804770e+00
3.202693602693602770e+02	2.170731707317072878e+00
3.228282828282828518e+02	2.115853658536585247e+00
3.253872053872054266e+02	2.073170731707317138e+00
3.317845117845117784e+02	2.085365853658536217e+00
3.343434343434344100e+02	2.146341463414633832e+00
3.369023569023569280e+02	2.195121951219511924e+00
3.381818181818182438e+02	2.128048780487804770e+00
3.407407407407407618e+02	2.091463414634146201e+00
3.445791245791245956e+02	2.091463414634146201e+00
3.484175084175084294e+02	2.128048780487804770e+00
3.496969696969697452e+02	2.170731707317072878e+00
3.535353535353535790e+02	2.207317073170731447e+00
3.548148148148148948e+02	2.256097560975609539e+00
3.573737373737374128e+02	2.274390243902439046e+00
3.599326599326599876e+02	2.207317073170731447e+00
3.612121212121212466e+02	2.176829268292682862e+00
3.650505050505050804e+02	2.225609756097560954e+00
3.663299663299663393e+02	2.298780487804878092e+00
3.688888888888889142e+02	2.231707317073170493e+00
3.688888888888889142e+02	2.231707317073170493e+00
3.714478114478114321e+02	2.182926829268292401e+00
3.752861952861952659e+02	2.237804878048780033e+00
3.765656565656565817e+02	2.323170731707317138e+00
3.791245791245792134e+02	2.262195121951219523e+00
3.804040404040404155e+02	2.243902439024390016e+00
3.829629629629630472e+02	2.280487804878048586e+00
3.842424242424243062e+02	2.384146341463414309e+00
3.868013468013468810e+02	2.542682926829268109e+00
3.880808080808080831e+02	2.432926829268292401e+00
3.880808080808080831e+02	2.329268292682926678e+00
3.906397306397307148e+02	2.256097560975609539e+00
3.919191919191919169e+02	2.195121951219511924e+00
3.957575757575757507e+02	2.237804878048780033e+00
3.970370370370370665e+02	2.286585365853658125e+00
4.008754208754209003e+02	2.323170731707317138e+00
4.021548821548822161e+02	2.378048780487804770e+00
4.034343434343435320e+02	2.445121951219511924e+00
4.059932659932660499e+02	2.579268292682926678e+00
4.072727272727273657e+02	2.701219512195121908e+00
4.098316498316498837e+02	2.567073170731707155e+00
4.098316498316498837e+02	2.439024390243902385e+00
4.136700336700337175e+02	2.323170731707317138e+00
4.136700336700337175e+02	2.237804878048780033e+00
4.175084175084175513e+02	2.182926829268292401e+00
4.226262626262627009e+02	2.219512195121950970e+00
4.251851851851852189e+02	2.274390243902439046e+00
4.264646464646465347e+02	2.353658536585365724e+00
4.277441077441078505e+02	2.451219512195121908e+00
4.303030303030303685e+02	2.567073170731707155e+00
4.315824915824916843e+02	2.676829268292682862e+00
4.341414141414142023e+02	2.560975609756097171e+00
4.354208754208755181e+02	2.469512195121950970e+00
4.367003367003367202e+02	2.390243902439024293e+00
4.392592592592593519e+02	2.365853658536585247e+00
4.418181818181818699e+02	2.445121951219511924e+00
4.443771043771043878e+02	2.506097560975609539e+00
4.456565656565657036e+02	2.396341463414633832e+00
4.469360269360270195e+02	2.347560975609756184e+00
4.494949494949495374e+02	2.292682926829268109e+00
4.520538720538721691e+02	2.256097560975609539e+00
4.558922558922560029e+02	2.317073170731707155e+00
4.571717171717172050e+02	2.384146341463414309e+00
4.584511784511785208e+02	2.475609756097560954e+00
4.610101010101010388e+02	2.560975609756097171e+00
4.648484848484848726e+02	2.493902439024390016e+00
4.674074074074075043e+02	2.390243902439024293e+00
4.699663299663300222e+02	2.335365853658536217e+00
4.750841750841751718e+02	2.359756097560975263e+00
4.763636363636364877e+02	2.292682926829268109e+00
4.789225589225590056e+02	2.225609756097560954e+00
4.827609427609428394e+02	2.189024390243902385e+00
4.865993265993266732e+02	2.280487804878048586e+00
4.891582491582491912e+02	2.493902439024390016e+00
4.904377104377105070e+02	2.365853658536585247e+00
4.929966329966330250e+02	2.274390243902439046e+00
4.955555555555556566e+02	2.213414634146341431e+00
