OBSID,PNT_NO,FILTER,DATATYPE,EXT_NO,DATE-OBS,DATE-END,MIDTIME,EXPOSURE,WHEELPOS,RA_PNT,DEC_PNT,PA_PNT,ASPCORR,MOD8CORR,FLATCORR,CLOCKAPP,x_pixel,y_pixel,RA,DEC,delta,r,elong
05000061001,1,V,image,1,2021-10-05T22:22:14,2021-10-05T22:23:45,2021-10-05T22:22:59.500,90.3243937443357,600,74.4334214831877,32.0085866929022,79.012234660809,DIRECT,False,False,False,721.1437426922341,524.8172239547091,74.4194,31.98218,5.41825374052131,5.919126787043,115.5716
05000061001,1,V,image,2,2021-10-05T22:23:48,2021-10-05T22:24:55,2021-10-05T22:24:21.500,66.2284650352603,600,74.4334214831877,32.0085866929022,79.012234660809,DIRECT,False,False,False,715.7367875785686,518.4689176207531,74.41937,31.98222,5.41823708816588,5.919127058187,115.5726
05000061002,1,UVW1,image,1,2021-10-05T22:25:18,2021-10-05T22:29:56,2021-10-05T22:27:37.000,272.862564186148,1200,74.415308186742,31.9771004021206,78.9967472484043,DIRECT,False,False,False,659.3809117236561,636.1199435177138,74.41929,31.9823,5.41819812704387,5.919127704632,115.5752
05000061003,1,V grism,image,1,2021-10-05T22:30:19,2021-10-05T22:45:26,2021-10-05T22:37:52.500,892.460892396779,955,74.4195365153071,31.9837419267338,78.9936276433524,NONE,False,False,False,557.0253025876159,1524.837624248308,74.41889,31.98255,5.41808536749912,5.91912973985,115.5836
05000061003,2,UVW1,image,1,2021-10-05T22:45:32,2021-10-05T22:46:55,2021-10-05T22:46:13.500,81.7349573743864,1200,74.4195365153071,31.9837419267338,78.9936276433524,DIRECT,False,False,False,676.5888895883896,612.3181090545955,74.41852,31.98272,5.41800757043203,5.919131396444,115.5906
05000062001,1,V,image,1,2021-10-07T06:14:13,2021-10-07T06:14:48,2021-10-07T06:14:30.500,34.2272762033259,600,74.3540917932259,32.0457776855027,77.9569748195633,DIRECT,False,False,False,530.5572473504542,471.88947233637964,74.39995,32.00558,5.40004723075554,5.919506154274,116.8716
05000062001,1,V,image,2,2021-10-07T06:14:50,2021-10-07T06:15:56,2021-10-07T06:15:23.000,64.3824666358327,600,74.3540917932259,32.0457776855027,77.9569748195633,DIRECT,False,False,False,521.8389034976506,460.16780945711275,74.39993,32.0056,5.40003671766834,5.919506327995,116.8723
05000062002,1,UVW1,image,1,2021-10-07T06:16:20,2021-10-07T06:20:55,2021-10-07T06:18:37.500,271.461850326323,1200,74.4017290601102,32.0043179755578,78.0368263904116,DIRECT,False,False,False,673.2438530377372,618.4175391196646,74.39984,32.00569,5.39999842615661,5.919506971591,116.8748
05000062003,1,V grism,image,1,2021-10-07T06:21:20,2021-10-07T06:36:11,2021-10-07T06:28:45.500,877.692905788004,955,74.3987408016582,32.0051052120954,77.9976502838003,NONE,False,False,False,546.7429151429038,1542.9307914622104,74.39943,32.00595,5.39988824191702,5.919508983436,116.8831
05000062003,2,UVW1,image,1,2021-10-07T06:36:17,2021-10-07T06:37:56,2021-10-07T06:37:06.500,96.557391382187,1200,74.3987408016582,32.0051052120954,77.9976502838003,DIRECT,False,False,False,669.6386000874732,615.6706942238288,74.39903,32.00613,5.39981112735416,5.919510641207,116.89
05000063001,1,V,image,1,2021-10-07T09:24:12,2021-10-07T09:25:37,2021-10-07T09:24:54.500,83.4289711527978,600,74.3787261106848,32.0398226641699,77.9912156145906,DIRECT,False,False,False,618.8074136111187,504.89912147654644,74.3977,32.00786,5.39824781356419,5.919543956557,117.0014
05000063001,1,V,image,2,2021-10-07T09:25:40,2021-10-07T09:26:56,2021-10-07T09:26:18.000,74.35092458875,600,74.3787261106848,32.0398226641699,77.9912156145906,DIRECT,False,False,False,613.540734309454,495.9313354039956,74.39767,32.0079,5.39823106427138,5.919544232876,117.0024
05000063002,1,UVW1,image,1,2021-10-07T09:27:18,2021-10-07T09:31:55,2021-10-07T09:29:36.500,272.656289739114,1200,74.4014190994881,32.0014599263237,78.0142780779967,DIRECT,False,False,False,680.183261309634,638.3334948674534,74.39758,32.00798,5.39819198343274,5.919544889754,117.005
